Model,Precision,Recall,F1 Score
MultinomialNB,0.23683604532775285,0.17466313430094382,0.12908111658473703
GaussianNB,0.25615802087140416,0.5160527237095832,0.2972157359020039
BernoulliNB,0.12796825920747043,0.16598416987987327,0.1151318407295919
ComplementNB,0.6038707956432717,0.4733077017166831,0.4706460831739877
RandomForestClassifier,0.8807043208505142,0.7710632815120946,0.8154393551028616
DecisionTreeClassifier,0.7742838975681672,0.7897382114869247,0.7804101297175154
svm.SVC,0.6398721226897877,0.43716440287805663,0.45726558912544235
KNeighborsClassifier,0.5395985428038369,0.32418257213296336,0.3582664753070456
LogisticRegression,0.7236034576428176,0.48287099440837755,0.5390669460176023
LinearDiscriminantAnalysis,0.6964406792183084,0.4550752755160857,0.5186684181604917
"BaggingClassifier(MultinomialNB(), n_jobs=-1)",0.22013611160099603,0.1736793380046475,0.12718803963005984
"BaggingClassifier(GaussianNB(), n_jobs=-1)",0.2543509169012238,0.5161722996832572,0.29779593001973037
"BaggingClassifier(BernoulliNB(), n_jobs=-1)",0.13629940700483717,0.16619658932550507,0.11555686947584587
"BaggingClassifier(ComplementNB(), n_jobs=-1)",0.5689263379222195,0.4727956423237626,0.469928897717491
"BaggingClassifier(RandomForestClassifier(), n_jobs=-1)",0.8875882102454714,0.7484728188685975,0.8020530159120554
"BaggingClassifier(DecisionTreeClassifier(), n_jobs=-1)",0.8605335320373788,0.8037226448859964,0.8284315591597566
"BaggingClassifier(svm.SVC(), n_jobs=-1)",0.7475812994037808,0.44127104541321927,0.4688147143036475
"BaggingClassifier(KNeighborsClassifier(), n_jobs=-1)",0.5135043708398149,0.33192270656772005,0.3652846292560731
"BaggingClassifier(LogisticRegression(max_iter=5000, ), n_jobs=-1)",0.7280479460266644,0.4777717490208186,0.5349275400753107
"BaggingClassifier(LinearDiscriminantAnalysis(), n_jobs=-1)",0.6946377774720542,0.46553078583028473,0.5282602188382961
GradientBoostingClassifier,0.8832548027213492,0.8397988385966567,0.8591778163462385
AdaBoostClassifier,0.43536220575619744,0.5267497570607494,0.4310965574151265
StackingClassifier,0.8846881731655776,0.8499998720546511,0.8654823610479797
VotingClassifier,0.8857494358978144,0.8186518990513247,0.8482625868237088
